sana;sanaluokka;taso;aikaleima (dd.mm.yyyy HH:MM:SS)
ill;3;2;02-05-2022 07:04:26
illness;1;2;28-08-2022 21:29:38
image;1;2;02-09-2022 20:01:10
immediately;4;2;28-12-2022 18:03:21
impossible;3;2;07-04-2022 02:28:56
included;3;2;22-01-2022 09:30:00
including;5;2;18-12-2022 19:41:12
increase;2;2;27-03-2022 16:51:18
increase;1;2;04-11-2022 16:01:18
incredible;3;2;20-02-2022 21:22:24
independent;3;2;06-03-2022 11:34:05
individual;1;2;15-04-2022 16:08:45
individual;3;2;17-09-2022 14:12:59
industry;1;2;21-04-2022 05:25:41
informal;3;2;05-06-2022 02:28:58
injury;1;2;04-11-2022 17:22:21
insect;1;2;26-07-2022 04:30:37
inside;5;2;04-07-2022 13:04:32
inside;4;2;28-06-2022 00:21:30
inside;1;2;08-02-2022 20:22:11
inside;3;2;14-06-2022 23:26:53
instead;4;2;26-02-2022 01:59:19
instruction;1;2;04-03-2022 08:38:14
instructor;1;2;26-12-2022 07:44:51
instrument;1;2;18-06-2022 22:42:24
intelligent;3;2;23-04-2022 11:48:47
international;3;2;11-12-2022 21:46:37
introduction;1;2;27-08-2022 00:32:54
invent;2;2;01-05-2022 05:59:41
invention;1;2;21-09-2022 03:13:14
invitation;1;2;21-08-2022 07:13:59
invite;2;2;16-05-2022 16:15:40
involve;2;2;27-02-2022 17:08:59
item;1;2;26-09-2022 17:04:32
itself;8;2;26-03-2022 13:48:55
jam;1;2;24-10-2022 10:34:20
jazz;1;2;28-01-2022 09:47:37
jewellery;1;2;18-10-2022 03:39:08
joke;1;2;16-11-2022 12:38:56
joke;2;2;22-06-2022 05:37:03
journalist;1;2;28-09-2022 15:09:20
jump;2;2;21-06-2022 16:27:13
jump;1;2;15-03-2022 03:03:52
kid;1;2;01-12-2022 05:21:19
kill;2;2;29-06-2022 08:41:25
king;1;2;04-11-2022 23:18:59
knee;1;2;04-08-2022 14:11:45
knife;1;2;02-11-2022 21:33:48
knock;2;2;03-06-2022 18:16:23
knowledge;1;2;28-07-2022 20:35:38
lab;1;2;14-07-2022 07:08:59
lady;1;2;29-03-2022 00:50:48
lake;1;2;13-06-2022 21:49:57
lamp;1;2;23-08-2022 21:48:21
land;2;2;16-09-2022 07:48:34
laptop;1;2;29-04-2022 09:02:52
last (final);4;2;22-07-2022 16:36:48
last (final);1;2;11-01-2022 05:32:39
last (taking time);2;2;09-09-2022 20:05:20
later;3;2;06-01-2022 16:17:35
laughter;1;2;16-10-2022 01:02:49
law;1;2;15-07-2022 23:45:48
lawyer;1;2;05-08-2022 20:34:05
lazy;3;2;04-03-2022 08:15:51
lead;2;2;22-01-2022 20:51:45
leader;1;2;19-10-2022 00:27:39
learning;1;2;06-12-2022 03:34:37
least;7;2;22-11-2022 17:07:51
least;8;2;20-12-2022 08:47:17
least;4;2;26-08-2022 10:29:51
lecture;1;2;06-03-2022 06:16:14
lecture;2;2;27-12-2022 12:15:14
lemon;1;2;17-11-2022 08:24:31
lend;2;2;04-10-2022 12:24:30
less;7;2;11-04-2022 13:23:26
less;8;2;09-07-2022 23:58:38
less;4;2;07-01-2022 11:19:45
level;1;2;17-08-2022 08:55:12
lifestyle;1;2;04-04-2022 22:48:03
lift;2;2;16-07-2022 22:23:53
lift;1;2;10-09-2022 15:18:45
light (from the sun/a lamp);2;2;25-04-2022 11:43:46
light (not heavy);3;2;19-12-2022 22:04:29
likely;3;2;03-03-2022 05:05:44
link;1;2;28-07-2022 18:21:53
link;2;2;11-07-2022 11:07:19
listener;1;2;22-10-2022 16:27:40
little;4;2;13-05-2022 08:35:49
lock;2;2;13-07-2022 16:33:22
lock;1;2;08-10-2022 16:14:50
look;1;2;31-10-2022 07:19:27
lorry;1;2;09-04-2022 01:36:06
lost;3;2;30-09-2022 20:05:22
loud;3;2;29-10-2022 08:46:13
loud;4;2;05-02-2022 12:27:44
loudly;4;2;25-05-2022 15:29:26
lovely;3;2;20-06-2022 09:16:02
low;3;2;10-02-2022 17:40:25
low;4;2;12-08-2022 16:05:31
luck;1;2;22-03-2022 22:45:35
lucky;3;2;29-06-2022 01:05:41
mail;1;2;21-01-2022 03:09:12
mail;2;2;29-09-2022 15:39:36
major;3;2;27-11-2022 05:06:46
male;3;2;22-03-2022 14:09:44
male;1;2;11-01-2022 10:26:25
manage;2;2;24-10-2022 21:50:00
manager;1;2;20-09-2022 06:01:09
manner;1;2;21-03-2022 11:59:28
mark;2;2;28-02-2022 09:59:59
mark;1;2;21-09-2022 14:01:03
marry;2;2;02-02-2022 00:15:13
material;1;2;07-07-2022 01:16:06
mathematics;1;2;12-10-2022 04:56:00
maths;1;2;30-11-2022 23:21:10
matter;1;2;17-04-2022 20:16:50
matter;2;2;27-03-2022 10:47:23
may modal;2;2;14-06-2022 11:10:41
media;1;2;24-12-2022 02:56:02
medical;3;2;30-03-2022 23:54:58
medicine;1;2;09-07-2022 05:38:57
memory;1;2;22-10-2022 18:01:33
mention;2;2;26-01-2022 04:41:18
metal;1;2;07-09-2022 16:36:02
method;1;2;26-01-2022 12:24:28
middle;1;2;30-07-2022 23:18:39
middle;3;2;17-02-2022 07:20:44
might modal;2;2;11-06-2022 11:06:39
mind;1;2;10-08-2022 01:21:05
mind;2;2;17-01-2022 19:47:50
mine (belongs to me);8;2;24-06-2022 00:44:17
mirror;1;2;31-12-2022 23:08:50
missing;3;2;10-05-2022 16:16:20
mobile;3;2;13-01-2022 11:20:33
mobile;1;2;23-11-2022 17:17:19
monkey;1;2;22-07-2022 16:12:28
moon;1;2;11-06-2022 04:37:59
mostly;4;2;25-10-2022 10:21:05
motorcycle;1;2;30-05-2022 04:53:44
movement;1;2;05-10-2022 21:14:56
musical;3;2;18-12-2022 06:09:07
musician;1;2;01-11-2022 05:58:31
myself;8;2;25-10-2022 07:38:48
narrow;3;2;25-09-2022 06:52:47
national;3;2;01-11-2022 10:18:07
nature;1;2;12-10-2022 16:42:09
nearly;4;2;27-03-2022 22:42:21
necessary;3;2;13-12-2022 14:42:33
neck;1;2;02-07-2022 07:16:54
need;1;2;17-12-2022 15:43:34
neither;7;2;28-03-2022 07:19:18
neither;8;2;26-10-2022 22:43:08
nervous;3;2;25-05-2022 07:48:50
network;1;2;13-07-2022 10:44:24
noise;1;2;06-10-2022 16:15:32
noisy;3;2;08-01-2022 15:27:18
none;8;2;10-12-2022 22:48:23
normal;3;2;24-03-2022 02:45:30
normally;4;2;29-09-2022 21:40:49
notice;2;2;13-01-2022 01:13:36
notice;1;2;03-09-2022 13:52:51
novel;1;2;08-03-2022 19:25:17
nowhere;4;2;30-08-2022 21:56:07
number;2;2;16-11-2022 05:21:04
nut;1;2;18-06-2022 10:23:25
ocean;1;2;27-09-2022 04:22:00
offer;2;2;24-02-2022 19:53:07
offer;1;2;24-07-2022 17:33:41
officer;1;2;21-10-2022 11:17:33
oil;1;2;15-06-2022 21:59:23
onto;5;2;03-02-2022 02:08:36
opportunity;1;2;02-06-2022 09:30:12
option;1;2;20-04-2022 13:58:41
ordinary;3;2;30-09-2022 09:32:55
organization;1;2;13-01-2022 01:06:48
organize;2;2;22-04-2022 21:19:56
original;3;2;30-03-2022 18:04:22
ourselves;8;2;26-06-2022 00:28:50
outside;5;2;13-05-2022 17:34:43
outside;1;2;14-08-2022 05:02:33
outside;3;2;16-05-2022 17:16:26
oven;1;2;18-10-2022 06:26:04
own;2;2;16-02-2022 23:26:43
owner;1;2;06-01-2022 22:55:56
pack;2;2;30-08-2022 21:13:57
pain;1;2;03-07-2022 13:22:01
painter;1;2;03-10-2022 10:25:44
palace;1;2;28-11-2022 11:22:06
pants;1;2;29-08-2022 15:44:31
parking;1;2;28-09-2022 20:54:36
particular;3;2;07-08-2022 18:57:04
pass;2;2;06-09-2022 18:47:19
passenger;1;2;27-03-2022 07:40:39
past;4;2;19-03-2022 21:44:52
patient;1;2;29-10-2022 12:40:47
pattern;1;2;26-09-2022 12:45:19
pay;1;2;06-10-2022 06:53:21
peace;1;2;06-05-2022 03:59:12
penny;1;2;30-11-2022 15:25:31
per;5;2;19-12-2022 04:27:40
per cent;1;2;09-03-2022 21:22:04
per cent;3;2;22-04-2022 15:08:52
per cent;4;2;21-10-2022 09:03:40
perform;2;2;24-03-2022 14:59:57
perhaps;4;2;01-08-2022 03:54:14
permission;1;2;27-01-2022 10:59:15
personality;1;2;05-11-2022 02:27:48
pet;1;2;11-03-2022 18:33:56
petrol;1;2;03-10-2022 07:21:45
photograph;2;2;11-04-2022 09:47:42
physical;3;2;21-06-2022 08:11:06
physics;1;2;29-11-2022 07:19:10
pick;2;2;01-11-2022 11:40:54
pilot;1;2;06-06-2022 16:20:21
planet;1;2;19-06-2022 17:53:14
plant;2;2;04-07-2022 01:29:13
plastic;1;2;02-08-2022 11:23:53
plastic;3;2;18-05-2022 02:57:45
plate;1;2;06-09-2022 19:55:16
platform;1;2;12-10-2022 00:11:38
please;2;2;01-03-2022 01:50:05
pleased;3;2;24-02-2022 09:28:53
pocket;1;2;03-09-2022 03:07:36
polite;3;2;16-12-2022 02:01:53
pollution;1;2;27-05-2022 17:37:08
pop;1;2;09-08-2022 16:17:26
pop;3;2;13-04-2022 10:22:03
population;1;2;22-03-2022 10:19:57
position;1;2;30-09-2022 01:35:19
possession;1;2;28-05-2022 21:03:37
possibility;1;2;08-01-2022 03:11:31
poster;1;2;17-09-2022 06:08:53
power;1;2;19-08-2022 19:51:28
predict;2;2;06-04-2022 05:08:58
present;2;2;19-04-2022 01:24:44
president;1;2;29-06-2022 18:42:27
prevent;2;2;10-07-2022 10:10:37
print;2;2;09-10-2022 15:21:30
printer;1;2;27-02-2022 01:41:52
prison;1;2;22-02-2022 01:03:01
prize;1;2;15-12-2022 18:39:44
process;1;2;08-04-2022 19:23:33
produce;2;2;19-03-2022 16:37:29
professional;3;2;03-05-2022 17:57:45
professor;1;2;13-02-2022 21:37:50
profile;1;2;28-06-2022 14:27:27
program;1;2;31-12-2022 09:21:10
progress;1;2;30-12-2022 06:28:10
promise;2;2;29-03-2022 05:11:29
promise;1;2;17-09-2022 09:12:15
pronounce;2;2;06-04-2022 07:55:19
protect;2;2;30-04-2022 21:35:54
provide;2;2;08-02-2022 19:15:59
pub;1;2;30-11-2022 23:26:03
public;3;2;14-11-2022 02:18:25
public;1;2;04-03-2022 21:06:31
publish;2;2;22-12-2022 08:46:35
pull;2;2;07-06-2022 09:23:03
purpose;1;2;08-06-2022 21:10:32
push;2;2;17-09-2022 15:50:56
quality;1;2;22-12-2022 14:43:24
quantity;1;2;02-09-2022 09:57:28
queen;1;2;05-12-2022 04:31:40
question;2;2;24-03-2022 02:39:11
quietly;4;2;07-09-2022 11:26:38
race (competition);1;2;16-12-2022 20:28:04
race (competition);2;2;06-03-2022 23:17:43
railway;1;2;02-03-2022 05:58:08
raise;2;2;12-10-2022 19:41:16
rate;1;2;24-02-2022 08:42:55
rather;4;2;08-09-2022 15:16:30
reach;2;2;06-07-2022 09:02:54
react;2;2;12-09-2022 17:23:53
realize;2;2;03-10-2022 03:55:05
receive;2;2;09-03-2022 23:35:47
recent;3;2;19-09-2022 05:51:37
recently;4;2;01-04-2022 13:03:49
reception;1;2;27-05-2022 19:06:16
recipe;1;2;17-07-2022 01:43:35
recognize;2;2;12-01-2022 03:08:44
recommend;2;2;14-10-2022 14:07:07
record;1;2;20-12-2022 12:12:02
record;2;2;02-10-2022 07:55:02
recording;1;2;07-01-2022 23:47:50
recycle;2;2;21-02-2022 07:04:57
reduce;2;2;02-05-2022 16:47:00
refer;2;2;01-10-2022 08:25:15
refuse;2;2;26-05-2022 22:38:59
region;1;2;01-07-2022 06:08:47
regular;3;2;09-06-2022 01:02:53
relationship;1;2;18-03-2022 21:37:37
remove;2;2;24-09-2022 07:12:38
repair;2;2;10-08-2022 20:32:45
replace;2;2;31-01-2022 23:33:41
reply;2;2;14-04-2022 21:47:28
reply;1;2;03-03-2022 14:11:29
report;2;2;10-06-2022 19:39:11
reporter;1;2;11-09-2022 09:12:08
request;1;2;31-03-2022 08:14:40
research;1;2;03-04-2022 14:57:59
research;2;2;21-04-2022 03:42:04
researcher;1;2;12-08-2022 19:55:16
respond;2;2;30-11-2022 07:10:21
response;1;2;18-05-2022 07:29:49
rest (remaining part);1;2;24-02-2022 23:05:17
rest (sleep/relax);1;2;31-12-2022 09:48:33
rest (sleep/relax);2;2;23-05-2022 22:51:02
review;1;2;12-04-2022 20:02:13
review;2;2;06-01-2022 03:18:25
ride;1;2;29-10-2022 23:36:43
ring;1;2;09-07-2022 08:43:28
ring;2;2;27-09-2022 03:10:41
rise;2;2;14-07-2022 06:44:47
rock (stone);1;2;24-07-2022 06:02:20
rock (music);1;2;01-02-2022 21:59:43
role;1;2;23-02-2022 16:14:45
roof;1;2;22-07-2022 20:27:40
round;3;2;11-05-2022 04:26:55
round;4;2;07-11-2022 00:59:05
round;5;2;22-08-2022 01:46:27
route;1;2;20-01-2022 00:50:04
rubbish;1;2;12-07-2022 14:20:20
rude;3;2;30-05-2022 16:44:33
run;1;2;22-09-2022 05:20:57
runner;1;2;12-01-2022 06:04:52
running;1;2;07-02-2022 05:03:27
sadly;4;2;25-11-2022 04:17:42
safe;3;2;31-10-2022 14:34:24
sail;2;2;24-06-2022 20:41:59
sailing;1;2;06-03-2022 20:06:55
salary;1;2;21-03-2022 20:29:09
sale;1;2;11-06-2022 10:48:22
sauce;1;2;05-02-2022 10:43:31
save;2;2;07-11-2022 20:57:07
scared;3;2;20-09-2022 13:57:55
scary;3;2;05-06-2022 03:13:17
scene;1;2;31-05-2022 15:29:02
schedule;1;2;03-06-2022 16:21:26
score;2;2;06-03-2022 06:37:27
score;1;2;24-01-2022 13:23:28
screen;1;2;01-08-2022 22:35:36
search;1;2;10-12-2022 14:57:14
search;2;2;13-06-2022 09:11:24
season;1;2;04-09-2022 14:34:17
seat;1;2;01-12-2022 08:17:56
second (next after the first);4;2;28-01-2022 12:09:23
secondly;4;2;29-08-2022 22:37:31
secret;3;2;20-03-2022 22:25:21
secret;1;2;22-12-2022 16:33:09
secretary;1;2;19-03-2022 00:08:56
seem;2;2;18-04-2022 17:55:43
sense;1;2;08-02-2022 15:34:23
separate;3;2;20-08-2022 00:41:06
series;1;2;01-06-2022 02:28:59
serious;3;2;07-03-2022 16:59:28
serve;2;2;02-05-2022 09:09:48
service;1;2;24-11-2022 07:39:45
several;7;2;17-02-2022 02:23:11
several;8;2;18-01-2022 09:33:13
shake;2;2;27-04-2022 20:24:29
shall modal;2;2;29-01-2022 21:55:29
shape;1;2;27-09-2022 20:23:07
sheet;1;2;25-06-2022 04:03:14
ship;1;2;30-01-2022 02:36:53
shoulder;1;2;02-01-2022 23:26:45
shout;2;2;13-04-2022 15:21:08
shout;1;2;07-10-2022 11:27:48
shut;2;2;18-01-2022 18:29:42
shut;3;2;06-04-2022 03:34:23
side;1;2;31-03-2022 13:58:28
sign;1;2;20-04-2022 20:37:47
sign;2;2;25-06-2022 03:14:34
silver;1;2;21-07-2022 00:25:29
silver;3;2;30-05-2022 00:52:25
simple;3;2;15-08-2022 17:14:32
since;5;2;21-12-2022 00:49:51
since;9;2;04-04-2022 13:38:30
singing;1;2;24-12-2022 00:46:59
single;3;2;12-11-2022 15:52:27
single;1;2;27-04-2022 16:41:10
sir;1;2;14-05-2022 09:03:03
site;1;2;23-11-2022 16:17:57
size;1;2;19-05-2022 18:41:30
ski;2;2;15-12-2022 19:47:10
ski;1;2;17-11-2022 09:20:49
skiing;1;2;31-01-2022 05:10:21
skin;1;2;14-12-2022 17:00:27
sky;1;2;05-03-2022 05:23:53
sleep;1;2;23-12-2022 08:07:11
slowly;4;2;10-01-2022 17:27:59
smartphone;1;2;22-06-2022 07:37:31
smell;2;2;01-07-2022 13:12:16
smell;1;2;18-11-2022 13:14:54
smile;2;2;13-12-2022 13:08:48
smile;1;2;22-05-2022 05:49:20
smoke;1;2;08-08-2022 03:02:44
smoke;2;2;10-07-2022 00:47:31
smoking;1;2;24-06-2022 11:41:17
soap;1;2;17-09-2022 06:27:30
soccer;1;2;13-11-2022 19:14:07
social;3;2;12-07-2022 00:36:35
society;1;2;21-09-2022 10:38:21
sock;1;2;24-07-2022 11:21:11
soft;3;2;09-11-2022 12:56:18
soldier;1;2;10-03-2022 14:14:03
solution;1;2;07-06-2022 07:22:40
solve;2;2;09-10-2022 12:23:48
somewhere;4;2;07-11-2022 00:56:18
somewhere;8;2;22-12-2022 19:16:33
sort;1;2;22-05-2022 06:55:01
source;1;2;11-04-2022 13:57:21
speaker;1;2;25-11-2022 01:20:00
specific;3;2;05-01-2022 23:08:57
speech;1;2;19-11-2022 23:32:25
speed;1;2;10-07-2022 15:44:30
spider;1;2;09-07-2022 06:17:16
spoon;1;2;18-02-2022 03:32:12
square;3;2;27-03-2022 01:46:04
square;1;2;08-09-2022 04:52:33
stage;1;2;12-08-2022 20:18:24
stair;1;2;16-05-2022 19:48:11
stamp;1;2;01-03-2022 03:54:27
star;2;2;08-08-2022 12:46:51
start;1;2;27-02-2022 00:14:15
state;1;2;17-03-2022 11:24:50
stay;1;2;06-08-2022 20:52:52
steal;2;2;12-05-2022 06:18:43
step;1;2;16-09-2022 12:17:27
stomach;1;2;30-01-2022 23:11:51
stone;1;2;23-10-2022 00:12:35
store;1;2;12-12-2022 03:32:55
storm;1;2;15-04-2022 12:19:43
straight;4;2;03-11-2022 21:19:26
straight;3;2;21-03-2022 03:40:01
strange;3;2;06-06-2022 20:01:56
strategy;1;2;02-05-2022 06:58:31
stress;1;2;12-06-2022 00:24:12
stress;2;2;21-08-2022 16:05:10
structure;1;2;30-09-2022 05:13:42
stupid;3;2;09-11-2022 08:48:15
succeed;2;2;27-10-2022 02:58:56
successful;3;2;02-05-2022 17:27:25
such;7;2;25-04-2022 03:21:25
such;8;2;14-04-2022 05:29:34
suddenly;4;2;22-03-2022 05:11:41
suggest;2;2;03-05-2022 12:38:43
suggestion;1;2;12-08-2022 04:38:25
suit;1;2;16-02-2022 02:58:26
support;2;2;23-08-2022 12:52:50
support;1;2;20-02-2022 14:05:58
suppose;2;2;09-12-2022 19:17:34
sure;4;2;30-03-2022 21:49:47
surprise;1;2;08-12-2022 07:10:27
surprise;2;2;06-10-2022 06:05:59
surprised;3;2;19-03-2022 08:27:09
surprising;3;2;01-03-2022 07:53:35
survey;1;2;15-01-2022 22:17:00
sweet;3;2;12-01-2022 04:13:33
sweet;1;2;17-03-2022 18:25:38
symbol;1;2;24-12-2022 05:46:11
system;1;2;01-05-2022 12:29:11
tablet;1;2;09-11-2022 00:02:09
talk;1;2;17-04-2022 06:35:34
target;1;2;17-08-2022 18:33:46
task;1;2;07-04-2022 09:54:26
taste;1;2;28-11-2022 07:56:59
taste;2;2;20-02-2022 13:53:21
teaching;1;2;26-06-2022 21:31:56
technology;1;2;17-07-2022 17:38:52
teenage;3;2;19-11-2022 07:14:19
temperature;1;2;04-05-2022 08:17:23
term;1;2;28-02-2022 15:05:25
text;2;2;04-08-2022 09:20:07
themselves;8;2;24-10-2022 18:40:38
thick;3;2;19-01-2022 06:38:15
thief;1;2;29-06-2022 02:26:50
thin;3;2;23-06-2022 20:36:47
thinking;1;2;19-01-2022 22:26:07
third;1;2;07-09-2022 05:43:11
thought;1;2;23-05-2022 01:21:58
throw;2;2;18-01-2022 02:47:19
tidy;3;2;21-08-2022 17:36:47
tidy;2;2;28-08-2022 16:18:50
tie;2;2;27-06-2022 14:03:30
tie;1;2;28-05-2022 23:41:02
tip;1;2;14-05-2022 09:28:27
tool;1;2;01-07-2022 14:32:16
top;1;2;16-09-2022 15:37:11
top;3;2;17-07-2022 19:00:40
touch;2;2;11-10-2022 23:08:09
tour;1;2;29-05-2022 09:40:33
tourism;1;2;12-05-2022 01:27:01
towards;5;2;06-06-2022 15:47:51
towel;1;2;10-06-2022 03:21:14
tower;1;2;13-06-2022 12:47:00
toy;1;2;26-03-2022 13:42:37
toy;3;2;30-01-2022 05:08:10
track;1;2;18-10-2022 04:42:30
tradition;1;2;08-03-2022 10:53:36
traditional;3;2;26-07-2022 20:48:54
train;2;2;07-03-2022 15:31:56
trainer;1;2;01-12-2022 06:34:24
training;1;2;29-08-2022 11:33:28
transport;1;2;08-03-2022 08:43:53
traveller;1;2;08-10-2022 10:32:14
trouble;1;2;07-02-2022 09:21:50
truck;1;2;09-09-2022 06:48:32
twin;1;2;19-10-2022 15:11:35
twin;3;2;28-02-2022 04:05:51
typical;3;2;03-11-2022 10:36:22
underground;3;2;17-02-2022 03:32:07
underground;4;2;30-11-2022 22:49:08
understanding;1;2;22-01-2022 01:17:33
unfortunately;4;2;28-11-2022 16:19:32
unhappy;3;2;31-10-2022 21:12:48
uniform;1;2;17-05-2022 15:18:34
unit;1;2;01-09-2022 20:27:17
united;3;2;10-04-2022 21:45:35
unusual;3;2;10-02-2022 02:04:32
upstairs;3;2;09-11-2022 01:34:23
use;1;2;19-09-2022 12:00:51
used to modal;2;2;30-03-2022 11:03:23
user;1;2;26-09-2022 15:31:09
usual;3;2;14-03-2022 20:03:47
valley;1;2;19-07-2022 13:36:37
van;1;2;21-12-2022 21:50:08
variety;1;2;07-12-2022 18:07:29
vehicle;1;2;28-03-2022 22:32:15
view;1;2;22-09-2022 01:24:08
virus;1;2;31-03-2022 19:10:29
voice;1;2;09-08-2022 20:33:55
wait;1;2;18-05-2022 19:57:40
war;1;2;22-01-2022 13:39:35
wash;1;2;17-11-2022 06:16:53
washing;1;2;02-03-2022 18:53:57
wave;1;2;26-06-2022 08:09:21
weak;3;2;25-12-2022 20:02:32
web;1;2;02-08-2022 15:13:38
wedding;1;2;01-09-2022 00:25:50
weight;1;2;28-12-2022 22:15:00
welcome;1;2;23-08-2022 05:40:36
wet;3;2;13-06-2022 05:13:23
wheel;1;2;17-10-2022 10:08:25
while;9;2;23-02-2022 20:02:28
whole;3;2;15-06-2022 09:09:06
whose;7;2;25-04-2022 19:03:33
whose;8;2;29-01-2022 03:24:30
wide;3;2;11-03-2022 21:54:13
wild;3;2;31-03-2022 21:10:09
wind;1;2;15-02-2022 08:15:21
winner;1;2;20-05-2022 21:45:19
wish;2;2;18-10-2022 15:15:30
wish;1;2;02-07-2022 08:47:03
wood;1;2;15-08-2022 10:48:34
wooden;3;2;16-11-2022 15:10:31
working;3;2;20-02-2022 09:44:34
worried;3;2;26-11-2022 01:49:19
worry;2;2;16-10-2022 18:23:37
worse;3;2;17-11-2022 06:27:06
worst;3;2;08-03-2022 23:14:35
wow;10;2;28-03-2022 23:14:36
yet;4;2;17-06-2022 12:17:56
yours;8;2;18-07-2022 17:24:17
zero;6;2;05-09-2022 09:26:39
absolutely;4;3;30-05-2022 07:20:56
academic;3;3;04-03-2022 06:05:20
access;1;3;19-08-2022 01:36:43
access;2;3;22-12-2022 23:14:34
accommodation;1;3;30-06-2022 18:41:26
account;1;3;28-01-2022 23:44:32
achievement;1;3;15-09-2022 01:27:47
act;1;3;26-05-2022 16:40:30
ad;1;3;29-05-2022 06:32:23
addition;1;3;03-10-2022 23:38:54
admire;2;3;07-09-2022 01:50:31
admit;2;3;26-05-2022 22:45:43
advanced;3;3;21-12-2022 05:40:18
advise;2;3;09-03-2022 02:56:50
afford;2;3;27-09-2022 23:05:42
age;2;3;16-10-2022 01:46:50
aged;3;3;28-06-2022 13:07:50
agent;1;3;16-12-2022 16:45:00
agreement;1;3;28-07-2022 23:50:29
ahead;4;3;19-09-2022 06:35:35
aim;2;3;01-11-2022 22:57:05
aim;1;3;21-05-2022 15:24:28
alarm;1;3;03-08-2022 00:26:55
album;1;3;22-12-2022 16:16:30
alcohol;1;3;08-05-2022 17:12:44
alcoholic;3;3;30-12-2022 13:17:49
alternative;3;3;31-05-2022 11:55:27
amazed;3;3;19-04-2022 17:55:38
ambition;1;3;08-01-2022 13:25:43
ambitious;3;3;28-05-2022 05:43:47
analyse;2;3;05-10-2022 18:33:14
analysis;1;3;07-07-2022 04:24:17
announce;2;3;24-06-2022 13:52:54
announcement;1;3;08-07-2022 12:31:13
annoy;2;3;02-10-2022 14:55:26
annoyed;3;3;12-11-2022 05:37:10
annoying;3;3;11-03-2022 01:53:36
apart;4;3;23-05-2022 10:52:18
apologize;2;3;17-04-2022 18:08:32
application;1;3;08-08-2022 06:44:07
appointment;1;3;11-11-2022 19:07:24
appreciate;2;3;20-02-2022 14:11:36
approximately;4;3;31-08-2022 01:10:53
arrest;2;3;20-12-2022 21:49:42
arrest;1;3;20-07-2022 02:20:48
arrival;1;3;23-12-2022 08:19:42
assignment;1;3;06-10-2022 03:45:40
assist;2;3;12-10-2022 07:39:54
atmosphere;1;3;24-10-2022 18:16:18
attach;2;3;09-09-2022 19:06:37
attitude;1;3;03-12-2022 13:28:37
attract;2;3;12-10-2022 08:55:24
attraction;1;3;14-07-2022 15:14:24
authority;1;3;01-07-2022 01:39:43
average;2;3;01-09-2022 19:16:22
award;2;3;15-07-2022 02:15:12
aware;3;3;28-03-2022 10:14:12
backwards;4;3;10-06-2022 15:42:08
bake;2;3;20-10-2022 21:53:37
balance;1;3;04-05-2022 13:09:29
balance;2;3;29-09-2022 00:37:52
ban;2;3;05-11-2022 21:07:58
ban;1;3;28-11-2022 15:33:16
bank (river);1;3;29-08-2022 18:41:29
base;1;3;28-02-2022 05:21:45
base;2;3;09-02-2022 00:04:32
basic;3;3;22-11-2022 20:23:14
basis;1;3;14-06-2022 10:49:24
battery;1;3;05-10-2022 13:40:52
battle;1;3;25-06-2022 06:01:39
beauty;1;3;02-07-2022 06:24:21
bee;1;3;07-07-2022 09:39:25
belief;1;3;31-01-2022 06:49:39
bell;1;3;19-04-2022 22:33:39
bend;2;3;06-08-2022 15:06:05
bend;1;3;07-07-2022 08:43:11
benefit;2;3;10-09-2022 18:56:02
better;1;3;25-06-2022 12:13:21
bite;2;3;31-12-2022 00:36:53
bite;1;3;30-05-2022 23:54:28
block;1;3;18-11-2022 02:58:57
block;2;3;03-07-2022 09:58:44
board;2;3;24-05-2022 15:27:54
bomb;1;3;28-11-2022 21:32:54
bomb;2;3;04-06-2022 19:53:43
border;1;3;10-06-2022 14:46:52
bother;2;3;22-04-2022 20:26:29
branch;1;3;11-12-2022 13:21:07
brand;1;3;15-09-2022 21:07:39
brand;2;3;01-05-2022 06:28:34
brave;3;3;19-10-2022 14:55:14
breath;1;3;02-04-2022 22:50:01
breathe;2;3;18-10-2022 01:00:46
breathing;1;3;27-10-2022 06:32:31
bride;1;3;27-09-2022 11:03:32
bubble;1;3;24-09-2022 09:37:54
bury;2;3;15-11-2022 02:36:19
by;4;3;23-08-2022 04:22:23
calm;3;3;23-11-2022 18:01:09
calm;2;3;12-10-2022 15:37:02
calm;1;3;10-10-2022 20:44:51
campaign;1;3;24-01-2022 07:06:11
campaign;2;3;19-03-2022 13:36:38
campus;1;3;13-02-2022 00:00:19
candidate;1;3;19-02-2022 16:59:51
cap;1;3;23-08-2022 06:09:54
captain;1;3;26-06-2022 01:26:44
careless;3;3;22-09-2022 01:55:57
category;1;3;09-12-2022 08:59:59
ceiling;1;3;11-11-2022 14:49:53
celebration;1;3;11-08-2022 15:51:33
central;3;3;28-06-2022 18:56:51
centre;2;3;23-11-2022 13:23:25
ceremony;1;3;15-04-2022 08:47:57
chain;1;3;11-10-2022 05:20:04
challenge;1;3;26-12-2022 03:34:18
champion;1;3;26-01-2022 13:57:25
channel;1;3;03-04-2022 01:47:31
chapter;1;3;23-03-2022 05:17:04
charge;1;3;02-05-2022 20:24:04
charge;2;3;06-01-2022 15:34:04
cheap;4;3;12-10-2022 08:29:53
cheat;2;3;13-01-2022 20:00:39
cheat;1;3;23-11-2022 01:15:47
cheerful;3;3;22-08-2022 06:25:15
chemical;3;3;10-03-2022 18:23:31
